1024 175
423 410 59
726 410 49
716 423 138
665 726 125
985 726 19
843 726 193
908 423 195
81 423 57
424 81 36
6 716 158
509 716 139
1024 6 133
145 410 109
887 665 12
469 716 23
642 985 115
739 642 121
365 424 96
992 365 136
856 509 180
933 887 200
412 423 120
581 887 153
752 1024 176
962 933 108
780 908 159
406 856 16
166 423 134
29 412 19
794 145 25
266 962 132
140 424 99
524 81 29
1002 581 113
387 962 52
723 140 132
492 933 37
58 406 126
622 642 100
673 266 98
133 992 108
592 642 61
539 29 170
428 410 189
459 539 71
182 752 59
415 524 115
238 794 149
827 6 157
504 492 134
893 887 194
384 469 132
255 387 168
380 843 168
954 423 71
855 387 37
861 827 6
478 29 29
814 412 121
920 933 43
19 716 137
258 1024 189
765 723 181
923 726 136
18 642 87
812 387 77
999 539 40
362 923 109
264 18 70
251 622 198
906 255 8
2 423 134
174 726 55
862 665 37
173 264 34
30 999 39
154 752 155
801 723 151
578 251 170
762 923 46
159 424 135
629 384 10
261 992 167
828 384 172
66 933 13
277 459 188
889 933 155
376 428 92
449 762 59
394 862 18
756 765 181
86 887 10
821 504 58
538 2 146
51 622 162
224 380 110
720 394 121
488 642 140
445 258 177
208 261 121
776 539 6
486 581 91
894 889 143
116 827 63
411 524 145
609 887 189
16 720 115
740 133 169
96 424 164
784 145 112
484 30 191
262 887 45
591 765 184
345 16 57
617 173 184
613 814 156
303 459 81
522 923 65
456 394 40
31 376 128
370 539 74
341 617 77
928 578 179
866 445 96
383 456 108
1023 992 163
301 18 187
298 412 126
230 581 108
541 617 178
33 617 167
883 478 103
813 31 110
275 739 129
499 794 117
728 985 118
490 538 22
582 541 48
800 821 12
949 174 60
177 486 183
179 258 174
45 469 102
624 812 77
678 376 82
711 410 10
943 776 110
153 277 19
637 678 67
849 637 29
184 262 85
805 456 173
108 238 17
901 145 64
704 866 134
448 582 94
948 756 57
960 522 51
545 428 189
283 723 84
328 484 39
1016 387 9
56 678 34
907 908 160
326 812 135
57 159 24
202 581 106
286 1024 32
399 341 59
231 893 23
149 399 21
344 283 164
375 592 136
127 499 76
850 509 122
662 893 66
104 499 3
498 182 75
833 255 66
770 756 139
311 907 90
43 387 140
160 765 99
54 678 118
714 962 157
305 303 138
816 18 189
712 541 64
525 149 36
331 424 6
20 923 78
69 231 52
489 184 195
128 948 80
694 591 112
869 133 92
659 184 144
973 665 180
422 920 62
834 202 67
890 415 158
970 128 53
648 380 40
113 813 31
97 149 198
593 954 163
21 449 84
810 591 111
692 622 122
822 954 114
633 1023 7
372 383 148
220 31 72
284 890 110
964 448 166
204 973 113
797 843 122
757 866 113
725 893 40
972 204 118
868 331 102
346 331 13
639 992 121
899 489 178
22 973 160
217 96 57
93 539 130
534 380 183
925 801 132
367 541 108
319 394 23
379 499 17
199 69 106
53 258 41
1014 53 52
958 812 83
453 104 73
852 428 28
959 810 38
239 166 148
9 410 45
882 380 166
561 868 60
771 469 93
594 850 188
562 284 128
357 261 153
218 970 26
649 959 165
176 486 144
85 199 92
368 714 161
268 380 127
61 30 34
940 184 196
610 692 61
377 609 78
265 906 104
699 406 193
398 740 59
343 275 115
808 958 193
646 642 158
111 622 34
451 711 185
248 208 134
221 1014 13
573 97 180
403 812 189
38 970 60
807 303 86
580 624 160
779 346 194
917 649 16
767 265 150
71 372 27
517 362 70
437 592 188
895 801 86
240 266 49
858 949 44
269 780 195
431 344 30
105 999 76
75 238 40
129 593 151
998 173 22
249 423 97
550 113 193
8 907 190
435 850 186
308 331 196
1010 61 104
977 96 134
358 499 47
131 387 54
929 96 142
567 517 118
886 437 43
434 580 10
978 383 87
628 901 175
921 377 148
764 765 146
924 538 122
216 649 141
715 958 181
615 111 154
505 907 91
347 943 71
167 779 88
444 978 146
353 765 89
228 319 53
369 328 23
988 177 33
169 248 81
875 849 122
137 311 106
253 208 89
98 908 134
590 985 87
400 54 170
625 448 75
82 999 15
427 255 97
463 517 93
395 739 199
790 704 151
421 659 95
627 484 23
289 739 120
952 8 200
49 377 160
259 1002 106
83 813 126
15 403 68
447 714 97
124 812 97
52 505 17
709 81 130
655 224 179
413 153 40
684 410 107
405 96 63
487 199 53
930 1010 31
62 85 155
877 522 161
191 834 78
913 149 106
608 298 71
350 66 98
24 66 96
457 85 101
734 96 49
223 383 37
871 487 193
247 412 166
1001 434 70
396 866 33
472 580 145
976 9 69
944 834 74
438 978 90
914 545 157
677 427 22
366 861 156
135 284 144
611 223 9
698 345 95
722 24 88
324 396 189
1000 405 175
818 377 95
294 633 1
